Variable,Description,Wave,Educational Dimension,Missing %,Leakage,Relationship with Target,Final Decision,Justification
X3TNEWBASIC,"The new basics variable (X3TNEWBASIC) and similar composites (X3TCRSES1-5) are based on credit counts without regard to the level of courses completed (except for the condition that at least two credits in a single foreign language must be earned). Only credits accrued in 9th through 12th grade (or ungraded) are included. For a cross-subject coursetaking composite that takes into account the level of courses completed, see academic track/concentrator (X3TACADTRCK). Values indicate whether the sample member is on: (1) a college-bound core curriculum that includes at least 4 English credits, 3 math credits, 3 science credits, 3 social studies credits, .5 computer science credits, and 2 credits in a particular foreign language; (2) a core curriculum that includes at least 4 English credits, 3 math credits, 3 science credits, 3 social studies credits, and .5 computer science credits; (3) a college bound core curriculum without computer sciences that includes at least 4 English credits, 3 math credits, 3 science credits, 3 social studies credits, and 2 credits in a particular foreign language; (4) a core curriculum without computer sciences track that includes at least 4 English credits, 3 math credits, 3 science credits, and 3 social studies credits; (5) a minimal core curriculum that includes at least 4 English credits, 2 math credits, 2 science credits, and 3 social studies credits; or (6) all other patterns.",X3 - 2013 Update / HS transcript (2013),Academic performance,6.7,Low,Weak (Cramer's V=0.084),Include,"Matched >1 dimension keyword set (assigned to Academic performance by priority order) -- verify against Description; Statistical association with target: Weak (Cramer's V=0.084) (supporting evidence only, not decisive)"
S1MPERSON2,How much do you agree or disagree with the following statements? Others see you as a math person Strongly agree Agree Disagree Strongly disagree,S1 - Base year student survey item (2009),Academic performance,9.87,Low,Weak (Cramer's V=0.101),Include,"Statistical association with target: Weak (Cramer's V=0.101) (supporting evidence only, not decisive)"
S1MPERSON1,How much do you agree or disagree with the following statements? You see yourself as a math person Strongly agree Agree Disagree Strongly disagree,S1 - Base year student survey item (2009),Academic performance,9.17,Low,Weak (Cramer's V=0.106),Include,"Statistical association with target: Weak (Cramer's V=0.106) (supporting evidence only, not decisive)"
S1S8GRADE,"What was your final grade in this science course? (If your school uses numerical grades only, please answer in terms of the letter equivalent. If you don't know the equivalent, assume that... 90 to 100 is an ""A"", 80 to 89 is a ""B"", 70 to 79 is a ""C"", 60 to 69 is a ""D"", and anything less than 60 is ""below D"") A B C D Below D Your class was not graded",S1 - Base year student survey item (2009),Academic performance,11.82,Low,Weak (Cramer's V=0.086),Include,"Matched >1 dimension keyword set (assigned to Academic performance by priority order) -- verify against Description; Statistical association with target: Weak (Cramer's V=0.086) (supporting evidence only, not decisive)"
S1M8GRADE,"What was your final grade in this math course? (If your school uses numerical grades only, please answer in terms of the letter equivalent. If you don't know the equivalent, assume that... 90 to 100 is an ""A"", 80 to 89 is a ""B"", 70 to 79 is a ""C"", 60 to 69 is a ""D"", and anything less than 60 is ""below D"") A B C D Below D Your class was not graded",S1 - Base year student survey item (2009),Academic performance,10.68,Low,Weak (Cramer's V=0.082),Include,"Matched >1 dimension keyword set (assigned to Academic performance by priority order) -- verify against Description; Statistical association with target: Weak (Cramer's V=0.082) (supporting evidence only, not decisive)"
S1M8,"What math course did you take in the 8th grade? If you took more than one math course, please choose your most advanced or most difficult course. Math 8 Advanced or Honors Math 8 not including Algebra Pre-algebra Algebra I including IA and IB Algebra II or Trigonometry Geometry Integrated Math Other advanced math course such as pre-calculus or calculus Other math ""Other adv math course, pre-calculus"" recoded as ""Other math course"" on the public use file.",S1 - Base year student survey item (2009),Academic performance,9.98,Low,Weak (Cramer's V=0.082),Include,"Statistical association with target: Weak (Cramer's V=0.082) (supporting evidence only, not decisive)"
S1NOMSACT,"Since the beginning of the last school year (2008-2009), which of the following activities have you participated in? (Check all that apply.) Math club Math competition Math camp Math study groups or a program where you were tutored in math Science club Science competition Science camp Science study groups or a program where you were tutored in science None of these",S1 - Base year student survey item (2009),Academic performance,10.33,Low,Weak (Cramer's V=0.064),Include,"Statistical association with target: Weak (Cramer's V=0.064) (supporting evidence only, not decisive)"
S1SCOMPETE,"Since the beginning of the last school year (2008-2009), which of the following activities have you participated in? (Check all that apply.) Math club Math competition Math camp Math study groups or a program where you were tutored in math Science club Science competition Science camp Science study groups or a program where you were tutored in science None of these",S1 - Base year student survey item (2009),Academic performance,10.33,Low,Weak (Cramer's V=0.053),Include,"Statistical association with target: Weak (Cramer's V=0.053) (supporting evidence only, not decisive)"
S1MCOMPETE,"Since the beginning of the last school year (2008-2009), which of the following activities have you participated in? (Check all that apply.) Math club Math competition Math camp Math study groups or a program where you were tutored in math Science club Science competition Science camp Science study groups or a program where you were tutored in science None of these",S1 - Base year student survey item (2009),Academic performance,10.33,Low,Weak (Cramer's V=0.074),Include,"Statistical association with target: Weak (Cramer's V=0.074) (supporting evidence only, not decisive)"
S1MCLUB,"Since the beginning of the last school year (2008-2009), which of the following activities have you participated in? (Check all that apply.) Math club Math competition Math camp Math study groups or a program where you were tutored in math Science club Science competition Science camp Science study groups or a program where you were tutored in science None of these",S1 - Base year student survey item (2009),Academic performance,10.33,Low,Weak (Cramer's V=0.062),Include,"Statistical association with target: Weak (Cramer's V=0.062) (supporting evidence only, not decisive)"
S1LANG1ST,What was the first language you learned to speak when you were a child? Was it... English Spanish Another language English and Spanish equally or English and another language equally?,S1 - Base year student survey item (2009),Academic performance,8.87,Low,Weak (Cramer's V=0.055),Include,"Statistical association with target: Weak (Cramer's V=0.055) (supporting evidence only, not decisive)"
S1BIRTHYR,What is your year of birth? Years earlier than 1992 recoded to 1992 or earlier and years later than 1996 recoded to 1996 or later on the public use file.,S1 - Base year student survey item (2009),Academic performance,8.94,Low,Weak (Cramer's V=0.051),Include,"Statistical association with target: Weak (Cramer's V=0.051) (supporting evidence only, not decisive)"
S1MUNDERST,"When you are working on a math assignment, how often do you think you really understand the assignment? Never Rarely Sometimes Often",S1 - Base year student survey item (2009),Academic performance,9.2,Low,Weak (Cramer's V=0.079),Include,"Statistical association with target: Weak (Cramer's V=0.079) (supporting evidence only, not decisive)"
X1TXMTH3,"Mathematics theta score multiple imputation value (3 of 5). When the math test data were missing for student survey respondents, the math theta score was imputed with multiple imputation technique, with 5 imputed values. X1TXMTH is the mean of X1TXMTH1-5. The theta score provides a norm-referenced measurement of achievement, that is, an estimate of achievement relative to the population (fall 2009 9th graders) as a whole. It provides information on status compared to peers (as distinguished from the IRT-estimated scale score which represents status with respect to achievement on a particular criterion set of test items). The associated theta score is X1TXMTH. The standardized form of the theta score is X1TXMTSCOR. Mean Std Deviation Category Min Max Unweighted Unweighted ------------------- ------------------- ------------------- ------------------- ------------------- Continuous -8.0000 3.0283 -0.6698 2.4569","X1 - Base year (Fall 2009, 9th grade)",Academic performance,,Low,Weak (Eta-sq=0.016),Include,"Statistical association with target: Weak (Eta-sq=0.016) (supporting evidence only, not decisive)"
X1TXMTH2,"Mathematics theta score multiple imputation value (2 of 5). When the math test data were missing for student survey respondents, the math theta score was imputed with multiple imputation technique, with 5 imputed values. X1TXMTH is the mean of X1TXMTH1-5. The theta score provides a norm-referenced measurement of achievement, that is, an estimate of achievement relative to the population (fall 2009 9th graders) as a whole. It provides information on status compared to peers (as distinguished from the IRT-estimated scale score which represents status with respect to achievement on a particular criterion set of test items). The associated theta score is X1TXMTH. The standardized form of the theta score is X1TXMTSCOR. Mean Std Deviation Category Min Max Unweighted Unweighted ------------------- ------------------- ------------------- ------------------- ------------------- Continuous -8.0000 3.0283 -0.6691 2.4572","X1 - Base year (Fall 2009, 9th grade)",Academic performance,,Low,Weak (Eta-sq=0.016),Include,"Statistical association with target: Weak (Eta-sq=0.016) (supporting evidence only, not decisive)"
X1TXMTH1,"Mathematics theta score multiple imputation value (1 of 5). When the math test data were missing for student survey respondents, the math theta score was imputed with multiple imputation technique, with 5 imputed values. X1TXMTH is the mean of X1TXMTH1-5. The theta score provides a norm-referenced measurement of achievement, that is, an estimate of achievement relative to the population (fall 2009 9th graders) as a whole. It provides information on status compared to peers (as distinguished from the IRT-estimated scale score which represents status with respect to achievement on a particular criterion set of test items). The associated theta score is X1TXMTH. The standardized form of the theta score is X1TXMTSCOR. Mean Std Deviation Category Min Max Unweighted Unweighted ------------------- ------------------- ------------------- ------------------- ------------------- Continuous -8.0000 3.1250 -0.6693 2.4570","X1 - Base year (Fall 2009, 9th grade)",Academic performance,,Low,Weak (Eta-sq=0.016),Include,"Statistical association with target: Weak (Eta-sq=0.016) (supporting evidence only, not decisive)"
C1CLUSTER,"Are Career Clusters, Pathways, or Programs of Study (POS) offered to students in [your school]? Yes No",C1 - Base year counselor survey (2009),Career interests and aspirations,23.76,Low,Weak (Cramer's V=0.055),Include,"Statistical association with target: Weak (Cramer's V=0.055) (supporting evidence only, not decisive)"
P1HELPPAY,Do you or does anyone in your family plan to help [your 9th-grader] pay for [his/her] education after high school? Yes No You have not thought about this yet,P1 - Base year parent survey (2009),Academic performance,38.72,Low,Weak (Cramer's V=0.061),Include,"Matched >1 dimension keyword set (assigned to Academic performance by priority order) -- verify against Description; Statistical association with target: Weak (Cramer's V=0.061) (supporting evidence only, not decisive)"
P1START,When do you think [he/she] will start [his/her] education after high school? Within 3 months after completing high school Within 6 months after completing high school Within one year after completing high school More than one year after completing high school,P1 - Base year parent survey (2009),Academic performance,39.12,Low,Weak (Cramer's V=0.055),Include,"Statistical association with target: Weak (Cramer's V=0.055) (supporting evidence only, not decisive)"
P1TYPEPS,Do you think [your 9th-grader] will start [his/her] college education at... a technical institute a community college or other Associate's granting school besides a technical institute a Bachelor's granting 4-year college or you have not thought about this yet?,P1 - Base year parent survey (2009),Academic performance,38.82,Low,Weak (Cramer's V=0.093),Include,"Statistical association with target: Weak (Cramer's V=0.093) (supporting evidence only, not decisive)"
P1ABLEBA,"Whatever [your 9th-grader]'s plans, do you think [he/she] has the ability to complete a Bachelor's degree? Would you say� definitely probably probably not or definitely not?",P1 - Base year parent survey (2009),Academic performance,34.26,Low,Weak (Cramer's V=0.082),Include,"Statistical association with target: Weak (Cramer's V=0.082) (supporting evidence only, not decisive)"
P1EDUEXPECT,"As things stand now, how far in school do you think [he/she] will actually get? Less than high school High school diploma or GED Start but not complete an Associate's degree Complete an Associate's degree Start but not complete a Bachelor's degree Complete a Bachelor's degree Start but not complete a Master's degree Complete a Master's degree Start but not complete a Ph.D., M.D., law degree, or other high level professional degree Complete a Ph.D., M.D., law degree, or other high level professional degree Don't know",P1 - Base year parent survey (2009),Academic performance,33.3,Low,Weak (Cramer's V=0.072),Include,"Statistical association with target: Weak (Cramer's V=0.072) (supporting evidence only, not decisive)"
P1EDUASPIRE,"If there were no barriers, how far in school would you want [your 9th-grader] to go? Less than high school High school diploma or GED Start but not complete an Associate's degree Complete an Associate's degree Start but not complete a Bachelor's degree Complete a Bachelor's degree Start but not complete a Master's degree Complete a Master's degree Start but not complete a Ph.D., M.D., law degree, or other high level professional degree Complete a Ph.D., M.D., law degree, or other high level professional degree",P1 - Base year parent survey (2009),Academic performance,33.51,Low,Weak (Cramer's V=0.076),Include,"Statistical association with target: Weak (Cramer's V=0.076) (supporting evidence only, not decisive)"
X2MTHEFF,"This variable is a scale of the sample member's math self-efficacy; higher X2MTHEFF values represent higher math self-efficacy. Variable was created through principal components factor analysis (weighted by W2STUDENT) and standardized to a mean of 0 and standard deviation of 1. The inputs to this scale were S2MTESTS, S2MTEXTBOOK, S2MSKILLS, and S2MASSEXCL. Only respondents who provided a full set of responses were assigned a scale value. The coefficient of reliability (alpha) for the scale is .65 or higher. For more information on this scale score, please see chapter 5 of the F1 Data File Documentation (NCES 2014-361). Mean Std Deviation Category Min Max Unweighted Unweighted ------------------- ------------------- ------------------- ------------------- ------------------- Continuous -9.00 1.73 -1.27 3.16","X2 - First follow-up (Spring 2012, 11th grade)",Skills and self-efficacy,,Low,Weak (Eta-sq=0.017),Include,"Matched >1 dimension keyword set (assigned to Skills and self-efficacy by priority order) -- verify against Description; Statistical association with target: Weak (Eta-sq=0.017) (supporting evidence only, not decisive)"
P1LIBRARY,"During the last 12 months, which of the following activities have you or another family member done with [your 9th-grader]? (Check all that apply.) Visited a zoo, planetarium, natural history museum, transportation museum, or a similar museum Worked or played on a computer together Built or fixed something such as a vehicle or appliance Attended a school science fair Helped [your 9th-grader] with a school science fair project Discussed a program or article about math, science, or technology Visited a library Gone to a play, concert, or other live show None of these",P1 - Base year parent survey (2009),Academic performance,34.27,Low,Weak (Cramer's V=0.057),Include,"Matched >1 dimension keyword set (assigned to Academic performance by priority order) -- verify against Description; Statistical association with target: Weak (Cramer's V=0.057) (supporting evidence only, not decisive)"
P1STEMDISC,"During the last 12 months, which of the following activities have you or another family member done with [your 9th-grader]? (Check all that apply.) Visited a zoo, planetarium, natural history museum, transportation museum, or a similar museum Worked or played on a computer together Built or fixed something such as a vehicle or appliance Attended a school science fair Helped [your 9th-grader] with a school science fair project Discussed a program or article about math, science, or technology Visited a library Gone to a play, concert, or other live show None of these",P1 - Base year parent survey (2009),Academic performance,34.27,Low,Weak (Cramer's V=0.066),Include,"Matched >1 dimension keyword set (assigned to Academic performance by priority order) -- verify against Description; Statistical association with target: Weak (Cramer's V=0.066) (supporting evidence only, not decisive)"
X1TXMTH5,"Mathematics theta score multiple imputation value (5 of 5). When the math test data were missing for student survey respondents, the math theta score was imputed with multiple imputation technique, with 5 imputed values. X1TXMTH is the mean of X1TXMTH1-5. The theta score provides a norm-referenced measurement of achievement, that is, an estimate of achievement relative to the population (fall 2009 9th graders) as a whole. It provides information on status compared to peers (as distinguished from the IRT-estimated scale score which represents status with respect to achievement on a particular criterion set of test items). The associated theta score is X1TXMTH. The standardized form of the theta score is X1TXMTSCOR. Mean Std Deviation Category Min Max Unweighted Unweighted ------------------- ------------------- ------------------- ------------------- ------------------- Continuous -8.0000 3.0974 -0.6696 2.4569","X1 - Base year (Fall 2009, 9th grade)",Academic performance,,Low,Weak (Eta-sq=0.016),Include,"Statistical association with target: Weak (Eta-sq=0.016) (supporting evidence only, not decisive)"
X1TXMTSCOR,"The math standardized T score provides a norm-referenced measurement of achievement, that is, an estimate of achievement relative to the population (fall 2009 9th graders) as a whole. It provides information on status compared to peers (as distinguished from the IRT-estimated percent-correct score which represents status with respect to achievement on a particular criterion set of test items). The standardized T score is a transformation of the IRT theta (ability) estimate, rescaled to a mean of 50 and standard deviation of 10. An advantage of the standardized score over the raw theta score is that it facilitates comparisons in standard deviation units. See Chapter 2 of the HSLS:09 Base-Year Data File Documentation (NCES 2011-328) for more information on the derivation of the math T score. Mean Std Deviation Category Min Max Unweighted Unweighted ------------------- ------------------- ------------------- ------------------- ------------------- Continuous -8.0000 82.1876 45.9312 19.2860","X1 - Base year (Fall 2009, 9th grade)",Academic performance,,Low,Weak (Eta-sq=0.027),Include,"Statistical association with target: Weak (Eta-sq=0.027) (supporting evidence only, not decisive)"
X1TXMSCR,The math IRT-estimated scale score is a criterion-referenced measure of achievement. The criterion is the set of skills defined by the HSLS:09 framework and represented by the 72 items in the HSLS:09 math item pool. The estimated scale score for math is an estimate of the number of items students would have answered correctly had they responded to all 72 items in the item pool. The ability estimates and item parameters derived from the IRT calibration can be used to calculate each student's probability of a correct answer for each of the items in the pool. These probabilities are summed to produce the IRT-estimated number-correct scale score. See Chapter 2 of the HSLS:09 Base-Year Data File Documentation (NCES 2011-328) for more information on the derivation of the math scale score score. Mean Std Deviation Category Min Max Unweighted Unweighted ------------------- ------------------- ------------------- ------------------- ------------------- Continuous -8.0000 69.9317 35.9645 17.7911,"X1 - Base year (Fall 2009, 9th grade)",Skills and self-efficacy,,Low,Weak (Eta-sq=0.042),Include,"Statistical association with target: Weak (Eta-sq=0.042) (supporting evidence only, not decisive)"
X1TXMTH,"The math theta score represents the student's ability level on a continuous scale. The theta score provides a norm-referenced measurement of achievement, that is, an estimate of achievement relative to the population (fall 2009 9th graders) as a whole. It provides information on status compared to peers (as distinguished from the IRT-estimated scale score which represents status with respect to achievement on a particular criterion set of test items). When the score is not available, X1TXMTH1-5 are created as the multiple imputation values for X1TXMTH. X1TXMTH is the mean of X1TXMTH1-5. The standard error of measurement for the theta score is X1TXMSEM. The standardized form of the mathematics theta score is X1TXMTSCOR. See Chapter 2 of the HSLS:09 Base-Year Data File Documentation (NCES 2011-328) for more information on the derivation of the math theta score. Mean Std Deviation Category Min Max Unweighted Unweighted ------------------- ------------------- ------------------- ------------------- ------------------- Continuous -8.0000 3.0283 -0.6693 2.4536","X1 - Base year (Fall 2009, 9th grade)",Academic performance,,Low,Weak (Eta-sq=0.016),Include,"Statistical association with target: Weak (Eta-sq=0.016) (supporting evidence only, not decisive)"
X1BLACK,"The sample member's race/ethnicity is characterized by a series of six dichotomous composite variables (the student is/is not white, the student is/is not black, etc.). The six dichotomous composite race/ethnicity variables are X1HISPANIC, X1WHITE, X1BLACK, X1ASIAN, X1PACISLE, and X1AMINDIAN. Each of these dichotomous composites is based on data from the student questionnaire; if missing from the student questionnaire, they are based on the presence of the race/ethnicity from the school-provided sampling roster; if still missing, they are based on the presence of the race/ethnicity from the parent questionnaire (if parent questionnaire data includes race/ethnicity information for biological parents) ; if still missing, they are based on the presence of another race/ethnicity on the school-provided sampling roster (to set values to ""No""). The six dichotomous race/ethnicity composites are then used in conjunction to produce the summary race/ethnicity composite X1RACE.","X1 - Base year (Fall 2009, 9th grade)",Demographic or socioeconomic controls,2.4,Low,Weak (Cramer's V=0.080),Include,"Statistical association with target: Weak (Cramer's V=0.080) (supporting evidence only, not decisive)"
X1WHITE,"The sample member's race/ethnicity is characterized by a series of six dichotomous composite variables (the student is/is not white, the student is/is not black, etc.). The six dichotomous composite race/ethnicity variables are X1HISPANIC, X1WHITE, X1BLACK, X1ASIAN, X1PACISLE, and X1AMINDIAN. Each of these dichotomous composites is based on data from the student questionnaire; if missing from the student questionnaire, they are based on the presence of the race/ethnicity from the school-provided sampling roster; if still missing, they are based on the presence of the race/ethnicity from the parent questionnaire (if parent questionnaire data includes race/ethnicity information for biological parents) ; if still missing, they are based on the presence of another race/ethnicity on the school-provided sampling roster (to set values to ""No""). The six dichotomous race/ethnicity composites are then used in conjunction to produce the summary race/ethnicity composite X1RACE.","X1 - Base year (Fall 2009, 9th grade)",Demographic or socioeconomic controls,2.4,Low,Weak (Cramer's V=0.073),Include,"Statistical association with target: Weak (Cramer's V=0.073) (supporting evidence only, not decisive)"
X1HISPANIC,"The sample member's race/ethnicity is characterized by a series of six dichotomous composite variables (the student is/is not white, the student is/is not black, etc.). The six dichotomous composite race/ethnicity variables are X1HISPANIC, X1WHITE, X1BLACK, X1ASIAN, X1PACISLE, and X1AMINDIAN. Each of these dichotomous composites is based on data from the student questionnaire; if missing from the student questionnaire, they are based on the presence of the race/ethnicity from the school-provided sampling roster; if still missing, they are based on the presence of the race/ethnicity from the parent questionnaire (if parent questionnaire data includes race/ethnicity information for biological parents); if still missing, they are based on the presence of another race/ethnicity on the school-provided sampling roster (to set values to ""No""). The six dichotomous race/ethnicity composites are then used in conjunction to produce the summary race/ethnicity composite X1RACE.","X1 - Base year (Fall 2009, 9th grade)",Demographic or socioeconomic controls,4.28,Low,Weak (Cramer's V=0.055),Include,"Statistical association with target: Weak (Cramer's V=0.055) (supporting evidence only, not decisive)"
X1RACE,"X1RACE characterizes the sample member's race/ethnicity by summarizing the following six dichotomous race/ethnicity composites: X1HISPANIC, X1WHITE, X1BLACK, X1ASIAN, X1PACISLE, and X1AMINDIAN. The dichotomous race/ethnicity composites are based on data from the student questionnaire, if available; if not available from the student questionnaire, they are based on, in order of preference, data from the school-provided sampling roster or data from the parent questionnaire. X1RACE is derived from the six dichotomous race/ethnicity variables listed above (though the imputed values of X1WHITE, X1BLACK, X1ASIAN, X1PACISLE, and X1AMINDIAN are not stored on the data file). If any of these input variables are imputed, then the imputation flag for X1RACE (X1RACE _IM) is set to 1.","X1 - Base year (Fall 2009, 9th grade)",Demographic or socioeconomic controls,4.28,Low,Weak (Cramer's V=0.070),Include,"Statistical association with target: Weak (Cramer's V=0.070) (supporting evidence only, not decisive)"
X3CLASSES_IM,Flag indicating whether the variable X3CLASSES was statistically imputed or not imputed.,X3 - 2013 Update / HS transcript (2013),Demographic or socioeconomic controls,0.0,Low,Weak (Cramer's V=0.059),Include,"Statistical association with target: Weak (Cramer's V=0.059) (supporting evidence only, not decisive)"
P1SHOW,"During the last 12 months, which of the following activities have you or another family member done with [your 9th-grader]? (Check all that apply.) Visited a zoo, planetarium, natural history museum, transportation museum, or a similar museum Worked or played on a computer together Built or fixed something such as a vehicle or appliance Attended a school science fair Helped [your 9th-grader] with a school science fair project Discussed a program or article about math, science, or technology Visited a library Gone to a play, concert, or other live show None of these",P1 - Base year parent survey (2009),Academic performance,34.27,Low,Weak (Cramer's V=0.071),Include,"Matched >1 dimension keyword set (assigned to Academic performance by priority order) -- verify against Description; Statistical association with target: Weak (Cramer's V=0.071) (supporting evidence only, not decisive)"
X2MTHUTI,"This variable is a scale of the sample member's perception of the utility of mathematics; higher values represent perceptions of greater mathematics utility. Variable was created through principal components factor analysis (weighted by W2STUDENT) and standardized to a mean of 0 and standard deviation of 1. The inputs to this scale were S2MUSELIFE, S2MUSECLG, and S2MUSEJOB. Only respondents who provided a full set of responses were assigned a scale value. The coefficient of reliability (alpha) for the scale is .65 or higher. For more information on this scale score, please see chapter 5 of the F1 Data File Documentation (NCES 2014-361). Mean Std Deviation Category Min Max Unweighted Unweighted ------------------- ------------------- ------------------- ------------------- ------------------- Continuous -9.00 1.21 -1.23 3.07","X2 - First follow-up (Spring 2012, 11th grade)",Career interests and aspirations,,Low,Weak (Eta-sq=0.015),Include,"Matched >1 dimension keyword set (assigned to Career interests and aspirations by priority order) -- verify against Description; Statistical association with target: Weak (Eta-sq=0.015) (supporting evidence only, not decisive)"
X2MTHID,"This variable is a scale of the sample member's math identity. Sample members who tend to agree with the statements ""You see yourself as a math person"" and/or ""Others see me as a math person"" will have higher values for X2MTHID. This variable was created through principal components factor analysis (weighted by W2STUDENT) and standardized to a mean of 0 and standard deviation of 1. The inputs to this scale were S2MPERSON1 and S2MPERSON2. Only respondents who provided a full set of responses were assigned a scale value. The coefficient of reliability (alpha) for the scale is .65 or higher. For more information on this scale score, please see chapter 5 of the F1 Data File Documentation (NCES 2014-361). Mean Std Deviation Category Min Max Unweighted Unweighted ------------------- ------------------- ------------------- ------------------- ------------------- Continuous -9.00 1.82 -1.16 3.07","X2 - First follow-up (Spring 2012, 11th grade)",Skills and self-efficacy,,Low,Weak (Eta-sq=0.027),Include,"Matched >1 dimension keyword set (assigned to Skills and self-efficacy by priority order) -- verify against Description; Statistical association with target: Weak (Eta-sq=0.027) (supporting evidence only, not decisive)"
X2SEFFORT,"This variable is a scale of the students answers science effort. Higher values represent more positive assessments of the school's problems. Variable was created through principal components factor analysis and standardized to a mean of 0 and standard deviation of 1. The inputs to this scale were S2SATTENTION, S2SONTIME, S2SSTOPTRYING, S2SGETBY. If the student indicated that he or she was not taking a fall science class, this variable is set to -7. Mean Std Deviation Category Min Max Unweighted Unweighted ------------------- ------------------- ------------------- ------------------- ------------------- Continuous -9.00 1.10 -2.59 3.74","X2 - First follow-up (Spring 2012, 11th grade)",Academic performance,,Low,Weak (Eta-sq=0.021),Include,"Matched >1 dimension keyword set (assigned to Academic performance by priority order) -- verify against Description; Statistical association with target: Weak (Eta-sq=0.021) (supporting evidence only, not decisive)"
X2MEFFORT,"This variable is a scale of the students answers math effort. Higher values represent more positive assessments of the school's problems. Variable was created through principal components factor analysis and standardized to a mean of 0 and standard deviation of 1. The inputs to this scale were S2MATTENTION, S2MONTIME, S2MSTOPTRYING, S2MGETBY. If the student indicated that he or she was not taking a fall math class, this variable is set to -7. Mean Std Deviation Category Min Max Unweighted Unweighted ------------------- ------------------- ------------------- ------------------- ------------------- Continuous -9.00 1.18 -2.07 3.57","X2 - First follow-up (Spring 2012, 11th grade)",Behavioral or psychological factors,,Low,Weak (Eta-sq=0.016),Include,"Matched >1 dimension keyword set (assigned to Behavioral or psychological factors by priority order) -- verify against Description; Statistical association with target: Weak (Eta-sq=0.016) (supporting evidence only, not decisive)"
X2SESQ5_U,"This variable is the quintile of X2SES_U, weighted using the student weight (W2STUDENT). For more information on this variable, please refer to section 7.3.2.2 of the HSLS:09 F1 Data File Documentation (NCES 2014-361).","X2 - First follow-up (Spring 2012, 11th grade)",Demographic or socioeconomic controls,10.99,Low,Weak (Cramer's V=0.095),Include,"Statistical association with target: Weak (Cramer's V=0.095) (supporting evidence only, not decisive)"
X2SESQ5,"This variable is the quintile of X2SES, weighted using the student weight (W2STUDENT). For more information on this variable, please refer to section 7.3.2.2 of the HSLS:09 F1 Data File Documentation (NCES 2014-361).","X2 - First follow-up (Spring 2012, 11th grade)",Demographic or socioeconomic controls,10.99,Low,Weak (Cramer's V=0.098),Include,"Statistical association with target: Weak (Cramer's V=0.098) (supporting evidence only, not decisive)"
X2POVERTY185,"X2POVERTY185 indicates whether the sample member's family was at/above or below 185% of the 2011 poverty threshold, as set forth by the U.S. Census Bureau. Both family income and household size are considered when calculating whether a family is at/above or below 185% of the poverty threshold. If X2FAMINCOME or X2HHNUMBER are imputed, then the imputation flag for the poverty variables (X2POVERTY_IM) is set to 1. Unit nonresponse for this composite is less than the set of F1 student nonrespondents (X2SQSTAT>7) due to inclusion of parent data for student nonrespondents and questionnaire incapables. The additional parent data are available for use with the W2PARENT weight. See https://www.census.gov/data/tables/time-series/demo/income-poverty/historical-poverty-thresholds.html for further detail on 2011 poverty thresholds.","X2 - First follow-up (Spring 2012, 11th grade)",Demographic or socioeconomic controls,10.99,Low,Weak (Cramer's V=0.092),Include,"Statistical association with target: Weak (Cramer's V=0.092) (supporting evidence only, not decisive)"
X2POVERTY130,"X2POVERTY130 indicates whether the sample member's family was at/above or below 130% of the 2011 poverty threshold, as set forth by the U.S. Census Bureau. Both family income and household size are considered when calculating whether a family is at/above or below 130% of the poverty threshold. If X2FAMINCOME or X2HHNUMBER are imputed, then the imputation flag for the poverty variables (X2POVERTY_IM) is set to 2. Unit nonresponse for this composite is less than the set of F1 student nonrespondents (X2SQSTAT>7) due to inclusion of parent data for student nonrespondents and questionnaire incapables. The additional parent data are available for use with the W2PARENT weight. See https://www.census.gov/data/tables/time-series/demo/income-poverty/historical-poverty-thresholds.html for further detail on 2011 poverty thresholds.","X2 - First follow-up (Spring 2012, 11th grade)",Demographic or socioeconomic controls,10.99,Low,Weak (Cramer's V=0.078),Include,"Statistical association with target: Weak (Cramer's V=0.078) (supporting evidence only, not decisive)"
X2POVERTY,"X2POVERTY indicates whether the sample member's family was at/above or below the 2011 poverty threshold, as set forth by the U.S. Census Bureau. Both family income and household size are considered when calculating whether a family is at/above or below the poverty threshold. If X2FAMINCOME or X2HHNUMBER are imputed, then the imputation flag for the poverty variables (X2POVERTY_IM) is set to 2. Unit nonresponse for this composite is less than the set of F1 student nonrespondents (X2SQSTAT>7) due to inclusion of parent data for student nonrespondents and questionnaire incapables. The additional parent data are available for use with the W2PARENT weight. See https://www.census.gov/data/tables/time-series/demo/income-poverty/historical-poverty-thresholds.html for further detail on 2011 poverty thresholds.","X2 - First follow-up (Spring 2012, 11th grade)",Demographic or socioeconomic controls,10.99,Low,Weak (Cramer's V=0.071),Include,"Statistical association with target: Weak (Cramer's V=0.071) (supporting evidence only, not decisive)"
X2FAMINCOME,"X2FAMINCOME is a categorical variable which indicates the sample member's family income from all sources in 2011, as reported by the parent questionnaire respondent. If missing from the parent questionnaire, X2FAMINCOME is statistically imputed (imputed values in X2FAMINCOME can be identified by using X2FAMINC_IM=2).","X2 - First follow-up (Spring 2012, 11th grade)",Demographic or socioeconomic controls,10.99,Low,Weak (Cramer's V=0.051),Include,"Statistical association with target: Weak (Cramer's V=0.051) (supporting evidence only, not decisive)"
